,REFTYPE,SESSION_IDENTIFIER,FRAME,WORLDPOSX,WORLDPOSY,WORLDPOSZ
47,RIGHT,14023301428294605882,583,-168.105224609375,722.7060546875,2.693547487258911
48,RIGHT,14023301428294605882,584,-167.23001098632812,721.8740844726562,2.6976797580718994
49,RIGHT,14023301428294605882,585,-166.3461456298828,721.0335693359375,2.70219349861145
50,RIGHT,14023301428294605882,586,-165.1555938720703,719.9015502929688,2.7074406147003174
51,RIGHT,14023301428294605882,1711,704.0746459960938,-337.62188720703125,2.8078806400299072
52,RIGHT,14023301428294605882,1712,704.6318969726562,-338.6306457519531,2.810367584228516
53,RIGHT,14023301428294605882,1713,705.3529052734375,-339.9367370605469,2.813650131225586
54,RIGHT,14023301428294605882,1715,705.8768310546875,-340.8863830566406,2.816316843032837
55,RIGHT,14023301428294605882,1716,706.5537719726562,-342.114990234375,2.819420337677002
56,RIGHT,14023301428294605882,1717,707.04443359375,-343.0072326660156,2.8214690685272217
57,RIGHT,14023301428294605882,1907,725.1383666992188,-396.3251037597656,2.946082830429077
58,RIGHT,14023301428294605882,3010,220.6169891357422,-854.2384643554688,2.9431228637695312
59,RIGHT,14023301428294605882,3013,218.8524169921875,-852.8915405273438,2.9570229053497314
60,RIGHT,14023301428294605882,3014,218.3245849609375,-852.47265625,2.9626028537750244
61,RIGHT,14023301428294605882,3017,216.3782958984375,-850.8906860351562,2.979864835739136
62,RIGHT,14023301428294605882,213,-473.7445983886719,859.792236328125,2.719095230102539
63,RIGHT,14023301428294605882,219,-464.2551879882813,853.6527709960938,2.701738119125366
64,RIGHT,14023301428294605882,226,-458.35748291015625,849.016845703125,2.705030918121338
65,RIGHT,14023301428294605882,1681,682.4366455078125,-300.3063049316406,2.6945831775665283
66,RIGHT,14023301428294605882,1682,683.2608642578125,-301.64752197265625,2.69585394859314
67,RIGHT,14023301428294605882,1683,684.0796508789062,-302.9850158691406,2.701920986175537
68,RIGHT,14023301428294605882,1685,684.89306640625,-304.3204345703125,2.7114572525024414
69,RIGHT,14023301428294605882,1686,685.7013549804688,-305.65216064453125,2.721601963043213
70,RIGHT,14023301428294605882,2079,632.248291015625,-422.950927734375,3.062341928482056
71,RIGHT,14023301428294605882,2080,631.5245361328125,-423.1007080078125,3.06028413772583
